soldprice,date,model
9.99,3/28,intel pentium e5200
30.0,3/28,intel xeon e5472
16.0,3/28,intel pentium e5200
155.95,3/28,amd ryzen 5 2600
16.99,3/28,intel xeon x5670
123.99,3/28,intel xeon e5-2680 v3
74.99,3/28,intel xeon x5690
29.95,3/28,intel xeon e5620
41.58,3/28,intel core i7-840qm
209.99,3/28,intel core i7-7800x
79.97,3/28,intel core i7-2600k
119.88,3/28,amd phenom ii x6 1100t
25.0,3/28,intel xeon e5-2667
28.99,3/28,intel pentium e2200
5.0,3/28,intel pentium g620
55.0,3/28,amd phenom ii x4 955
17.98,3/28,intel core i5-520m
145.28,3/28,intel xeon e3-1290
23.44,3/28,intel pentium g3220
27.41,3/28,amd k6-2
28.99,3/28,amd athlon x4 860k
34.99,3/28,intel core 2 duo t9300
95.0,3/28,intel core i7-2600
319.88,3/28,intel core i7-6950x
24.78,3/28,intel core i7-740qm
34.57,3/28,amd athlon x4 760k
44.99,3/28,intel xeon x5680
240.98,3/28,intel xeon e5-2698 v4
105.99,3/28,intel core i7-2600
20.5,3/28,intel xeon e5-1620
867.0,3/28,intel xeon e5-2699 v4
10.99,3/28,intel core i3-540
99.0,3/28,amd a8-6600k
599.0,3/28,intel xeon e5-2698 v4
154.98,3/28,intel core i7-3840qm
124.99,3/28,intel pentium g4620
68.0,3/28,intel core i7-6700
20.0,3/28,intel xeon e5-2630 v2
54.95,3/28,intel core i5-4690
15.0,3/28,intel core 2 quad q6600
55.0,3/28,amd a6-6400
5.0,3/28,intel core 2 duo e6550
199.99,3/28,intel core i5-10500
41.49,3/28,amd phenom ii x4 945
129.99,3/29,intel core i5-8500t
29.99,3/29,intel core i5-2300
15.0,3/29,amd athlon ii x4 635
99.0,3/29,intel pentium iii
185.0,3/29,intel xeon e5-2687w v2
8.99,3/29,intel xeon e5-2609 v2
99.0,3/29,intel pentium iii
5.99,3/29,intel core 2 duo e6550
15.0,3/29,intel core i3-2100
29.99,3/29,intel core i5-2310
129.0,3/29,intel core i7-3960x
179.0,3/29,intel core i5-8600k
24.8,3/29,amd a8-3850
17.99,3/29,intel xeon e5-2603 v3
149.0,3/29,intel core i7-3970x
126.0,3/29,intel xeon e5-2695 v2
89.0,3/29,intel xeon x5650
24.99,3/29,amd a8-3870k
39.99,3/29,intel core i5-2400
18.0,3/29,intel core i3-2120
198.0,3/29,intel xeon e-2124
17.99,3/29,intel core 2 quad q9300
90.0,3/29,intel xeon e5-2620 v2
320.0,3/29,intel core i5-760
11.95,3/29,intel core 2 duo e7500
1208.5,3/29,intel xeon e5-2699 v4
699.0,3/29,amd epyc 7601
57.99,3/29,intel xeon e5-1620
45.99,3/29,intel xeon e5-4610 v2
11.99,3/29,intel xeon e5-1620
14.0,3/29,intel xeon e5-2640
9.99,3/29,intel xeon e5-1620
1102.18,3/29,intel xeon gold 6148
23.99,3/29,intel xeon e5-2640
29.95,3/29,intel xeon e5-1620 v3
229.99,3/29,intel xeon e5-1620 v3
10.07,3/29,intel xeon e5-2640
49.95,3/29,intel xeon e3-1225 v3
49.99,3/29,intel xeon e3-1230 v2
229.99,3/29,intel xeon e5-1620 v3
44.88,3/29,intel xeon e5-4610 v2
108.0,3/29,intel xeon e3-1275 v3
26.8,3/29,amd phenom ii x4 840t
115.99,3/29,intel core i7-4790
63.2,3/29,amd a10-7850k
54.99,3/29,amd a8-7600
13.99,3/29,intel core 2 quad q8200
55.5,3/29,amd a10-6790k
59.0,3/29,intel xeon e5-2670 v2
26.99,3/29,intel xeon e5-2603 v3
27.99,3/29,intel xeon e5-2603 v3
69.99,3/29,intel core 2 quad q9300
164.5,3/29,intel xeon e5-4650
96.99,3/29,intel xeon e5-2673 v3
5.0,3/29,amd a6-5400k
235.0,3/29,intel core i7-7800x
50.55,3/29,intel xeon e5-2660 v2
168.84,3/29,intel core i5-4590
269.0,3/29,intel xeon e5-2680 v4
38.59,3/29,intel xeon e5-2650l v2
100.0,3/29,intel xeon e3-1240 v5
89.99,3/29,intel xeon e5-1620 v2
46.89,3/29,amd fx-6100
87.0,3/29,intel xeon e5-2643 v2
37.99,3/29,intel core 2 quad q9300
99.0,3/29,intel xeon x5670
40.0,3/29,intel i5-520m
699.0,3/29,amd epyc 7601
14.5,3/29,amd athlon x4 740
12.9,3/29,amd athlon ii x4 610e
42.8,3/29,amd a10-5800k
36.99,3/29,intel core i5-2300
23.99,3/29,intel core 2 quad q9300
60.57,3/29,amd a10-5700
242.99,3/29,intel xeon e5-1620 v2
89.99,3/29,intel xeon e5-1620 v2
17.99,3/29,intel xeon e5-2603 v3
70.5,3/29,amd-a10-8770
78.6,3/29,amd-a10-8750b
12.0,3/29,amd athlon ii x4 620
25.99,3/29,intel core 2 quad q9300
17.99,3/29,intel core 2 quad q9300
18.99,3/29,intel core 2 quad q9300
269.0,3/29,intel xeon e5-2680 v4
25.9,3/29,intel xeon e5645
12.83,3/29,intel xeon e5-2643
123.99,3/29,intel xeon e5-1620
51.76,3/29,intel core i7-860
45.55,3/29,amd a10-5700
69.95,3/29,intel xeon e5-2643 v2
12.99,3/29,amd a6-6400k
7.5,3/29,intel core 2 quad q6600
87.97,3/29,intel core i7-4820k
4.0,3/29,intel xeon e5-620
30.31,3/29,intel xeon e5-2650 v2
57.49,3/29,amd phenom ii x6 1055t
15.4,3/29,intel core 2 quad q6700
69.99,3/29,intel core i5-4690
239.99,3/29,intel core i7-4940mx
14.03,3/29,intel xeon e5-2640 v2
44.99,3/29,intel core i5-4460
219.99,3/29,intel xeon e5-1620 v3
49.95,3/29,intel xeon e3-1220
159.0,3/29,intel xeon e5-2695 v2
32.5,3/29,intel xeon x5680
28.8,3/29,amd-x4-615e
8.99,3/29,intel pentium g850
14.8,3/29,amd-x4-640
94.45,3/29,intel core i5-3470
9.49,3/29,intel xeon e5-2620
42.0,3/29,intel core i7-950
56.03,3/29,intel core i5-3510m
16.5,3/29,amd athlon x4 760k
29.86,3/29,intel core 2 duo e4400
58.0,3/29,amd a10-6800k
29.95,3/29,intel xeon e3-1225
29.95,3/29,intel xeon e3-1225
20.19,3/29,intel xeon e5-2670
36.39,3/29,intel xeon x5687
35.98,3/29,intel xeon e5-2670
168.0,3/29,intel xeon e5-2697 v2
43.99,3/29,intel core i5-3470
69.0,3/29,amd a6-9500
11.8,3/29,amd-x4-730
18.8,3/29,amd-x4-750x
631.74,3/29,intel core i9-9900k
49.5,3/29,amd a10-6700
34.39,3/29,intel xeon x5675
64.2,3/29,amd a10-7860k
50.99,3/29,intel pentium pro
50.99,3/29,intel pentium pro
159.0,3/29,intel xeon x5670
119.0,3/29,intel xeon e5-2690 v2
63.8,3/29,amd a10-8750
79.0,3/29,intel xeon x5690
272.5,3/29,intel xeon e5-1660 v3
33.99,3/29,intel core i5-3470
12.46,3/29,intel core 2 duo e4600
12.99,3/29,intel core i5 450m
53.8,3/29,amd a10-7800
229.0,3/29,intel xeon e5-1650 v4
12.3,3/29,amd athlon ii x4 630
16.0,3/29,amd athlon x4 750k
29.99,3/29,intel core i3-3240t
39.99,3/29,intel core i3-3250
9.99,3/29,intel xeon e5-2603 v2
29.99,3/29,intel pentium g3260t
11.99,3/29,intel xeon e5-2603 v2
15.6,3/29,amd athlon ii x4 645
12.8,3/29,amd athlon ii x4 631
39.99,3/29,intel xeon e5-2603 v3
9.99,3/29,intel xeon e5-2603 v2
114.99,3/29,intel xeon e5-1620 v2
14.99,3/29,intel core 2 quad q8200
24.5,3/29,intel core 2 extreme qx6700
13.99,3/29,intel core 2 quad q8200
42.88,3/29,amd a8-5600k
125.0,3/29,intel core i7-3770
5.0,3/29,intel core 2 duo e8400
99.0,3/29,intel core i5-6600
238.99,3/29,intel core i7-8700t
16.0,3/29,amd phenom ii x4 820
59.99,3/29,intel xeon e5-1620 v3
59.99,3/29,intel xeon e5-4620 v2
54.49,3/29,amd fx-6300
23.85,3/29,amd athlon x4 860k
84.99,3/29,intel xeon e5-1620
79.88,3/29,intel xeon e5-4627 v2
58.88,3/29,intel xeon e5-4620 v2
59.99,3/29,intel xeon e5-1620 v3
89.99,3/29,intel xeon e5-1620 v3
220.0,3/29,intel xeon e5-2683 v4
79.99,3/29,intel xeon e5-4627 v2
34.5,3/29,amd athlon x4 870k
359.96,3/29,intel xeon e5-1620 v2
235.0,3/29,intel xeon e5-2660 v4
49.0,3/29,intel xeon e5-2660 v2
280.0,3/29,intel core i7-6700k
12.8,3/29,amd athlon ii x4 600e
29.95,3/29,intel xeon e5-1620 v3
24.99,3/29,intel core i3 3220t
52.99,3/29,amd a10-5700
55.0,3/29,intel xeon e5-1620 v3
7.0,3/29,amd a6-3500
12.99,3/29,intel xeon e5-1620
9.99,3/29,intel xeon e5-1620
8.28,3/29,intel xeon e5-4610
10.99,3/29,intel xeon e5-1620
18.99,3/29,intel xeon x5670
135.99,3/29,intel xeon e5-2680 v2
4.99,3/29,intel core 2 duo t5600
41.8,3/29,intel core i7-4790k
195.45,3/29,intel core i7-6700
59.95,3/29,intel xeon e5-2660 v2
83.0,3/29,intel xeon e5-2680 v2
16.99,3/29,intel core 2 quad q8200
353.5,3/29,intel xeon e5-2680 v4
112.88,3/29,intel xeon e5-4657l v2
49.5,3/29,amd a8-7650k
20.99,3/29,intel core 2 quad q8200
57.99,3/29,intel xeon e5-1620
48.99,3/29,intel core i5-2400
42.99,3/29,intel xeon e5-2690
16.99,3/29,intel xeon e5-2603 v2
58.0,3/29,amd a10-7700k
45.0,3/29,intel core i5-3470
28.88,3/29,amd-a8-3870
699.0,3/29,amd epyc 7601
48.88,3/29,amd a8-5500
39.99,3/29,intel xeon e5-2690
87.0,3/29,intel core i7-3770s
28.0,3/30,intel core i3-370m
49.99,3/30,intel pentium g4400
188.99,3/30,intel xeon e5-2698b v3
14.99,3/30,intel core i5-540m
29.39,3/30,intel xeon e5-2660
28.0,3/30,intel core i3-370m
24.66,3/30,intel xeon e5-2670
54.8,3/30,amd phenom ii x4 970
26.88,3/30,amd phenom ii x4 960t
22.99,3/30,intel xeon x5670
18.9,3/30,amd phenom ii x4 9650
40.95,3/30,intel xeon e5-2650l v2
14.97,3/30,intel core i3-3240
125.97,3/30,intel core i7-5820k
48.5,3/30,amd phenom ii x6 1035t
19.99,3/30,intel core 2 duo t7200
49.98,3/30,intel core i3-4160
20.0,3/30,intel xeon e5-2603
34.69,3/30,intel xeon e5-2660
14.99,3/30,intel core i5-660
21.95,3/30,amd phenom ii x2 521
29.95,3/30,intel xeon e5-620
56.88,3/30,intel xeon e3-1275
8.75,3/30,intel core 2 quad q6600
75.0,3/30,intel xeon x5690
59.8,3/30,intel xeon e3-1245
19.99,3/30,intel xeon x5690
149.99,3/30,intel xeon e5-1650 v4
59.95,3/30,intel xeon e5-1650 v2
19.99,3/30,intel core i3-3220
25.0,3/30,amd 2200
19.5,3/30,amd phenom ii x4 925
159.96,3/30,intel xeon e-2124
18.0,3/30,intel core i3-2120
78.97,3/30,intel xeon e3-1240 v3
88.0,3/30,intel core i7-2600k
17.95,3/30,intel core i3-3110m
44.95,3/30,intel core i3-2350m
58.5,3/30,intel xeon e5-2670 v2
89.0,3/30,intel xeon e3-1240l v3
59.95,3/30,intel xeon e5-1650 v2
59.99,3/30,intel pentium g2030
77.49,3/30,intel xeon e3-1240 v2
30.0,3/30,amd a6-6400
9.47,3/30,intel core i3-530
59.99,3/30,intel pentium g2030
61.99,3/30,amd ryzen 5 1600
44.0,3/30,intel core i5-3470
32.0,3/30,intel core i5-3450
389.95,3/30,intel xeon w-2123
300.0,3/30,intel core i9-7900x
54.99,3/30,intel xeon x5355
200.0,3/30,intel xeon x3470
199.99,3/30,intel xeon e5-2640 v4
80.0,3/30,intel xeon x3460
14.99,3/30,intel xeon x3450
120.0,3/30,intel xeon x3440
29.99,3/30,intel core i5-2500
25.99,3/30,amd a6-8500
178.0,3/30,intel xeon w-2223
49.99,3/30,intel xeon e5-2630
70.0,3/30,intel i7-2710qe
16.0,3/30,amd a4-5300
49.0,3/30,intel xeon e5-2640 v2
98.5,3/30,intel xeon e3-1246 v3
17.6,3/30,amd athlon x4 730
165.0,3/30,amd ryzen 5 1600
44.99,3/30,intel core i5-4440s
34.95,3/30,intel core i5-3470
25.0,3/30,intel core 2 quad q8400
35.0,3/30,intel core i3-4130
24.59,3/30,amd phenom ii x4 965
48.8,3/30,amd phenom ii x6 1045t
19.79,3/30,amd phenom ii x4 955
24.9,3/30,intel xeon e5-5530
249.87,3/30,amd epyc 7261
217.62,3/30,amd ryzen 7 1700
40.76,3/30,intel core i7-720qm
34.95,3/30,intel xeon e5-540
70.0,3/30,intel i7-2710qe
215.94,3/30,amd ryzen 7 1700
29.0,3/30,intel core i7-720qm
199.99,3/30,intel xeon e5-2640 v4
98.99,3/30,intel xeon e5-2695 v2
29.99,3/30,intel core i5-2400s
675.0,3/30,intel core i9-7980xe
17.6,3/30,amd a4-7300
25.99,3/30,intel core i7-920
885.0,3/30,intel xeon gold 5115
19.99,3/30,intel xeon x5355
9.23,3/30,amd athlon ii x2 240
99.9,3/30,intel xeon e3-1271 v3
619.99,3/30,intel xeon e5-2687w v4
77.38,3/30,intel xeon e3-1230l v3
84.88,3/30,intel xeon e3
19.99,3/30,intel core 2 duo t7200
19.99,3/30,intel core 2 duo t6500
22.55,3/30,intel xeon e5-1620
20.0,3/30,intel core 2 duo t6400
98.88,3/30,intel xeon e3
78.88,3/30,intel xeon e3
45.99,3/30,intel xeon e3-1225 v2
14.98,3/30,intel core i3-2100
44.88,3/30,intel xeon e3
34.9,3/30,intel xeon e5-2407
7.5,3/30,intel core 2 duo e7600
84.99,3/30,intel xeon e3
68.8,3/30,intel xeon e3-1225 v3
99.0,3/30,intel core i7-3770
14.0,3/30,intel core i3-540
29.99,3/30,intel core 2 duo t8100
53.8,3/30,intel xeon e3-1235
89.0,3/30,intel xeon e5-1650 v2
28.8,3/30,intel xeon e3-1220l
94.88,3/30,intel xeon e3
49.99,3/30,intel xeon e3
72.8,3/30,intel xeon e3-1231 v3
73.88,3/30,intel xeon e3-1230 v3
44.88,3/30,intel xeon e3
55.5,3/30,intel xeon e3-1240
18.0,3/30,intel core i3-3220
39.95,3/30,intel xeon e5-1620 v2
6.99,3/30,intel xeon x5550
249.87,3/30,amd epyc 7261
31.5,3/30,intel xeon e3-1220l v3
74.95,3/30,intel xeon x5690
10.6,3/30,intel core 2 duo p8400
56.88,3/30,intel xeon e3-1275
99.0,3/30,intel xeon e3-1245 v3
84.99,3/30,intel xeon e3-1245v2
36.8,3/30,intel xeon e3-1220l v2
7.69,3/30,intel core 2 duo t7500
11.98,3/30,intel xeon e5-2430v2
9.0,3/30,intel xeon e5640
59.0,3/30,intel xeon e5-2620 v3
9.99,3/30,intel pentium e2160
136.69,3/30,intel core i7-4770k
139.99,3/30,intel core i7-4770k
30.98,3/30,intel xeon e5450
43.0,3/30,amd a8-6600k
199.87,3/30,amd epyc 7261
32.98,3/30,intel core i5-2300
140.0,3/30,intel xeon e5-2687w v2
64.5,3/30,intel xeon e3-1240v2
26.0,3/30,amd phenom ii x4 905e
19.99,3/30,intel xeon e5-2428l
46.8,3/30,intel xeon e3-1230
59.0,3/30,intel xeon e5-1620 v2
79.5,3/30,intel xeon e3-1270v2
79.8,3/30,intel xeon e3-1226 v3
88.0,3/30,intel xeon e3-1270 v3
99.9,3/30,intel xeon e3-1271 v3
37.5,3/30,intel xeon e3-1220 v3
99.99,3/30,intel xeon e3-1240l v5
29.99,3/30,intel xeon x5690
32.0,3/30,intel core i5-2400
81.8,3/30,amd phenom ii x6 1075t
109.0,3/30,intel xeon e5-2660 v2
119.99,3/30,intel core i7-4771
109.98,3/30,intel core i5-6600
118.8,3/30,amd phenom ii x6 1100t
22.8,3/30,amd phenom ii x4 955
34.5,3/30,intel xeon e3-1220 v2
86.5,3/30,intel xeon e3-1241 v3
99.0,3/30,intel core 2 extreme qx9650
75.5,3/30,amd phenom ii x6 1065t
84.8,3/30,intel xeon e3-1240v3
197.89,3/30,intel xeon e5-1650 v3
16.1,3/30,intel xeon e5530
23.24,3/30,intel xeon e5-2650
94.5,3/30,intel xeon e3-1265lv3
34.8,3/30,amd phenom ii x4 955
69.0,3/30,intel xeon e5-2650 v2
19.5,3/30,intel xeon x5650
57.99,3/30,amd phenom ii x4 910e
9.49,3/30,intel xeon x5650
217.62,3/30,amd ryzen 7 1700
16.99,3/31,amd phenom ii x3 710
31.95,3/31,intel core 2 quad q9550
52.99,3/31,amd phenom ii x6 1055t
15.49,3/31,intel xeon e5-2643
239.9,3/31,intel i5-9400
124.5,3/31,amd fx-8350
7.99,3/31,intel pentium e2140
399.0,3/31,intel xeon gold 5117 sr37s
69.0,3/31,intel xeon e5-2683 v4 es
8.99,3/31,intel pentium e2140
13.99,3/31,amd phenom ii x3 710
305.0,3/31,intel xeon e5-2686 v4
239.0,3/31,intel xeon e5-2643 v3
169.9,3/31,intel core 2 duo e7400
139.99,3/31,intel core i5-8500
119.99,3/31,intel core 2 extreme qx6700
62.8,3/31,intel xeon e3-1280
26.99,3/31,amd fx-4100
23.99,3/31,intel core 2 duo e8600
55.0,3/31,intel core i3-4150
19.5,3/31,amd fx-4100
29.99,3/31,intel core i3-2100
8.0,3/31,intel pentium iii
14.0,3/31,intel xeon e5-5530
25.57,3/31,amd 386dx
249.99,3/31,intel xeon x5675
17.43,3/31,intel xeon e5-2650l
169.99,3/31,intel core i5-6400
89.99,3/31,intel core 2 extreme qx6700
195.99,3/31,intel core i5-6400
95.0,3/31,intel core i7-4700mq
69.0,3/31,intel core i7-6700
299.0,3/31,intel core i7-6950x
15.0,3/31,intel core i5-750
199.99,3/31,intel xeon e5-2680
4.0,3/31,intel pentium g640
15.0,3/31,intel pentium ii
88.8,3/31,amd fx-8310
35.0,3/31,intel xeon e5-2650 v2
20.0,3/31,intel pentium ii
78.8,3/31,amd fx-8320
309.9,3/31,intel core i7-6700k
19.99,3/31,intel pentium g3220
189.99,3/31,intel core i5-6400
9.99,3/31,intel xeon e5-2407 v2
202.99,3/31,intel core i5-6400
89.99,3/31,intel core 2 extreme qx6700
25.81,3/31,intel core 2 duo e4300
30.0,3/31,intel core i3-3225
9.0,3/31,intel xeon e5-4610
15.0,3/31,intel xeon e5-440
29.99,3/31,intel core i5-3470
49.88,3/31,intel core i7-965
7.9,3/31,intel core 2 duo e7400
499.0,3/31,intel xeon e5-2699 v4
28.0,3/31,intel core i3-4160
3.99,3/31,intel xeon e5-1603
10.0,3/31,intel core i3-2100
118.8,3/31,intel xeon e3-1276 v3
24.9,3/31,intel core 2 e8600
39.99,3/31,intel core i3-2125
333.22,3/31,intel xeon e3-1270 v6
1.86,3/31,intel pentium p6200
40.0,3/31,intel core i3-530
19.0,3/31,intel pentium g2020
29.0,3/31,intel pentium g2020
216.8,3/31,amd fx-9590
72.6,3/31,amd fx-8300
15.0,3/31,intel xeon e5-2609
35.99,3/31,amd fx-4100
26.99,3/31,amd fx-4100
269.0,3/31,intel xeon e5-2637 v4
9.95,3/31,intel core i5-520m
39.99,3/31,intel core i3-2100
65.8,3/31,amd fx-8150
216.8,3/31,amd fx-9590
251.5,3/31,amd fx-8370e
250.47,3/31,amd epyc 7251
95.8,3/31,intel xeon e3-1275lv3
69.0,3/31,intel xeon e5-2683 v4 es
4.9,3/31,intel core i3-550
26.99,3/31,amd fx-4100
8.0,3/31,intel xeon e5-2620
20.0,3/31,amd athlon ii x3 440
43.99,3/31,intel core i3-2125
30.99,3/31,intel core i3-2100
25.92,3/31,intel pentium e2180
327.0,3/31,intel core i9-7960x
155.99,3/31,intel core i5-6400
1099.0,3/31,intel xeon w-2150b
9.6,3/31,intel pentium iii
399.0,3/31,intel xeon e5-2698 v4
99.99,3/31,intel core 2 extreme qx6700
209.9,3/31,intel core i5-8500
89.5,3/31,intel xeon e3-1275 v2
398.29,3/31,intel xeon e5-2698 v3
43.99,3/31,amd fx-6100
279.92,3/31,intel xeon e5-2618l v4
800.0,3/31,intel xeon e5-2637 v4
349.9,3/31,intel core i7-7700
39.99,3/31,intel core i5-3570
42.99,3/31,intel core i3-2125
28.0,3/31,intel core i5-3450s
291.0,3/31,intel core i7-6950x
19.0,3/31,intel pentium g3220
109.99,3/31,intel core 2 extreme qx6700
309.9,3/31,intel core i7-6700k
65.99,3/31,amd fx-6350
39.95,3/31,intel i7-870
5.99,3/31,intel xeon x3430
285.0,3/31,intel core i9-7900x 
16.0,3/31,intel xeon e5-2650
90.0,3/31,intel xeon w3690
39.95,3/31,intel xeon e3-1220 v3
12.99,3/31,amd athlon ii 260u
9.99,3/31,amd athlon ii 260u
360.78,3/31,intel xeon e3-1245v5
239.0,3/31,intel xeon e5-2690 v4
25.0,3/31,intel xeon e3-1220 v2
351.0,3/31,intel xeon e5-2697 v4
399.99,3/31,intel xeon x5650
329.0,3/31,intel xeon w-2175
35.99,3/31,amd fx-6100
14.87,3/31,intel pentium e5300
40.0,3/31,intel core i5-3570k
66.98,3/31,intel xeon e5-2640 v3
39.99,3/31,intel core i3-2125
18.59,3/31,intel core 2 duo e7200
18.0,3/31,amd a6-9500e
199.9,3/31,intel core i5-8400
13.99,3/31,amd phenom ii x3 710
79.0,3/31,intel xeon e5-2660 v3
8.79,3/31,intel pentium e2140
118.8,3/31,amd fx-8320e
20.0,3/31,intel xeon e3-1220
9.99,3/31,intel xeon e5630
99.99,3/31,amd a8-9600
39.9,3/31,intel core 2 quad q9400s
14.99,3/31,amd phenom ii x3 710
45.99,3/31,intel xeon e5-2660 v2
119.0,3/31,intel core i7-4790
339.9,3/31,intel core i7-8700
72.0,3/31,intel xeon x5690
75.99,3/31,intel xeon x5690
140.0,3/31,intel xeon e5-1650 v3
11.0,3/31,intel xeon 5130
255.0,3/31,intel xeon w-2150b
16.99,3/31,intel xeon x5472
14.99,3/31,amd phenom ii x3 710
38.88,3/31,amd fx-6200
20.0,3/31,intel xeon e3-1220
27.99,3/31,amd phenom ii x3 710
37.99,3/31,intel core i3-2100
40.0,3/31,intel core i5-3570
35.0,3/31,intel core i5-3470s
31.99,3/31,intel core i3-2100
47.95,3/31,amd a8-6500
19.88,3/31,amd fx-4130
199.0,3/31,intel core 2 e7500
8.9,3/31,intel core 2 e7500
39.99,3/31,intel core i3-4130
158.8,3/31,amd-fx-8370
29.99,3/31,intel core i3-2100
30.35,3/31,intel core i7-950
39.99,3/31,intel core i3-4170
25.0,3/31,intel pentium g2020
152.99,3/31,intel core i5-6400
168.8,3/31,intel xeon e3-1275 v3
105.0,3/31,intel xeon e3-1280v3
8.0,3/31,intel pentium m 760
145.0,3/31,intel xeon x5690
29.99,3/31,intel core i3-3240
23.9,3/31,amd fx-4300
29.99,3/31,intel core i3-3240
49.99,3/31,intel core i5-3470
18.59,3/31,intel pentium e5200
199.0,3/31,intel xeon platinum 8153 qs
220.0,3/31,intel xeon platinum 8156 sr3av
249.1,3/31,amd epyc 7251
179.95,3/31,amd ryzen 5 1600x
220.0,3/31,intel xeon x3430
185.0,3/31,intel core i7-8700t
120.0,3/31,intel core i5-7500
19.9,3/31,intel core 2 quad q8200s
18.0,3/31,intel xeon e5-2620 v2
5.0,3/31,intel core 2 duo e7600
251.5,3/31,amd fx-8370e
98.8,3/31,amd fx-4170
12.95,3/31,intel xeon x5500
129.0,3/31,intel xeon e5-2683 v4 es
59.99,3/31,intel xeon e5-2699 v3
52.0,3/31,intel core i5-4570
239.9,3/31,intel i5-9400
5.5,3/31,intel core 2 duo e4500
324.99,3/31,intel xeon e5-2697 v2
53.5,3/31,amd fx-8100
719.0,3/31,intel xeon e5-2699 v4
31.2,3/31,amd fx-4200
36.99,3/31,intel core i3-2100
152.99,3/31,intel core i5-6400
9.99,3/31,amd athlon ii 260u
54.5,3/31,amd fx-8120
251.5,3/31,amd fx-8370e
216.8,3/31,amd fx-9590
250.47,3/31,amd epyc 7251
49.0,3/31,intel core i7-860
16.99,3/31,amd phenom ii x3 710
43.5,3/31,amd fx-6300
7.99,3/31,intel pentium e2140
8.49,3/31,intel pentium e2140
8.29,3/31,intel pentium e2140
749.95,4/01,intel pentium g4560
3.0,4/01,amd athlon 64 3500+
3.0,4/01,intel pentium p6100
29.99,4/01,intel core i3-2100t
174.58,4/01,amd ryzen 7 1800x
10.99,4/01,amd a4-3300
15.0,4/01,intel xeon x3450
72.55,4/01,amd fx-8300
20.49,4/01,intel pentium iii
89.99,4/01,amd phenom ii
275.0,4/01,intel core i7-9700
76.99,4/01,intel core i3-2100t
69.99,4/01,intel core i5-2500k
114.99,4/01,intel core i7-4770
9.95,4/01,intel core i3-2330m
94.95,4/01,intel xeon e5-2630
152.95,4/01,amd ryzen 5 3500x
199.99,4/01,intel core i7-4770
47.45,4/01,intel xeon e5-2630 v2
9.99,4/01,amd athlon p320
95.17,4/01,intel core i7-2600
39.99,4/01,intel core i3-3220
62.99,4/01,intel core i3-2100t
18.99,4/01,intel core i5-750
34.99,4/01,intel core i3-2100t
28.99,4/01,intel core i3-2100t
192.0,4/01,intel core i3-3220
26.0,4/01,amd a8-3850
69.99,4/01,intel core i5-2550k
49.9,4/01,intel core i3-3240
45.0,4/01,intel core i3-4150
35.0,4/01,intel core i3-4130
89.99,4/01,amd phenom ii
72.99,4/01,amd phenom ii
69.99,4/01,intel core i5-3470
106.99,4/01,amd phenom ii
40.99,4/01,intel core i3-2100t
125.83,4/01,intel xeon e5-2690 v2
18.99,4/01,intel xeon e5-2630 v2
56.99,4/01,amd phenom ii
56.99,4/01,amd phenom ii
207.78,4/01,amd ryzen 5 3600x
84.98,4/01,amd a12-9800
53.99,4/01,intel xeon x5650
8.49,4/01,intel core 2 duo e7200
95.99,4/01,intel xeon x5650
29.99,4/01,intel xeon x5650
18.99,4/01,intel xeon x5650
250.0,4/01,intel core i5 52oou
9.99,4/01,intel xeon e5-2620 v2
80.0,4/01,intel xeon 5060
18.99,4/01,intel xeon x5650
149.99,4/01,intel core i7-2600
32.99,4/01,intel xeon x5650
12.0,4/01,intel core i3-2120
22.99,4/01,intel xeon x5650
24.99,4/01,intel core 2 duo e7200
13.99,4/01,intel pentium g2010
58.99,4/01,intel core i5-750
12.0,4/01,amd opteron 6272
82.98,4/01,amd a12-9800e
70.0,4/01,intel xeon 5160
39.99,4/01,intel pentium g2010
119.95,4/01,intel core i5-7500
10.75,4/01,amd sempron 64 le-1150
12.99,4/01,intel pentium g2010
24.99,4/01,intel xeon e5-2420
6.99,4/01,intel core 2 duo e7200
29.95,4/01,amd phenom ii x 4 955
6.99,4/01,intel core 2 duo e7200
39.99,4/01,intel core i3-2130
89.99,4/01,intel core i7-3770s
8.99,4/01,amd a4-3300
19.5,4/01,intel core 2 duo e6550
147.41,4/01,intel pentium e2160
18.95,4/01,intel xeon e5-2407
689.95,4/01,intel xeon e5-1680 v4
19.99,4/01,intel pentium g2010
12.99,4/01,intel pentium g2010
20.99,4/01,intel pentium g2010
7.99,4/01,intel core 2 duo e7200
199.95,4/01,amd ryzen 5 3600x
21.9,4/01,intel xeon w3530
28.99,4/01,intel core i3-2100t
24.66,4/01,intel xeon e5-2670
7.25,4/01,intel core 2 duo e7500
58.99,4/01,intel core i5-750
3.19,4/01,intel core duo t2050
24.55,4/01,amd phenom ii x4 965
63.99,4/01,amd fx
15.38,4/01,intel core 2 duo p8700
149.99,4/01,intel core i7-3770
28.0,4/01,amd fx-4300
52.95,4/01,intel xeon e3-1226 v3
26.88,4/01,amd phenom ii x4 960t
75.39,4/01,intel xeon e5-2658 v3
21.9,4/01,intel xeon e5-1603
24.99,4/01,intel xeon e5-1603
48.95,4/01,amd phenom ii x6 1055t
46.99,4/01,intel core i5-650
129.99,4/01,amd fx
59.99,4/01,amd fx
210.0,4/01,intel core i5-6600
73.55,4/01,intel xeon e5-2658 v3
